Gender,Customer_Type,Age,Subscription Plan,Price,Ratings,Time,Buys,satisfaction
1,1,51,3,1488,2,73,62,0
0,1,70,1,1892,1,0,0,0
0,0,26,3,502,2,53,52,0
0,1,46,3,2491,3,0,0,1
1,1,12,1,944,2,20,15,0
0,1,25,3,496,4,0,0,1
1,1,63,3,329,2,0,0,1
1,1,48,3,402,1,0,4,1
1,1,43,3,3946,3,0,0,1
1,1,35,3,337,5,54,40,1
1,1,32,3,2133,4,0,0,1
0,1,44,1,192,2,0,0,0
0,1,60,1,491,1,22,49,0
1,1,20,1,1120,2,0,3,0
1,1,10,1,1440,1,0,7,0
1,1,51,3,140,2,0,0,0
1,1,22,1,451,2,0,0,0
1,1,42,1,798,1,1,4,0
0,1,32,3,3607,1,0,0,1
0,1,24,1,1096,2,1,0,0
1,1,43,3,373,2,0,0,1
0,1,7,1,405,3,3,0,0
0,1,29,3,2542,5,18,55,1
1,1,48,2,907,4,0,1,1
0,0,25,1,1258,3,199,185,0
0,1,25,1,550,2,56,63,0
1,1,35,3,602,4,0,0,1
1,1,57,1,1399,2,3,0,0
0,1,52,3,3245,4,93,77,1
1,1,17,1,677,0,0,0,1
1,1,30,1,1616,2,70,89,0
0,1,38,3,1561,3,0,23,1
1,1,38,3,285,5,0,0,1
1,0,38,3,1189,1,3,0,0
0,0,23,1,1021,2,0,0,1
1,1,39,3,2442,5,80,86,1
1,1,55,3,918,1,12,5,0
1,0,25,3,545,3,0,2,0
0,1,59,3,459,4,0,5,0
1,1,9,2,804,1,0,0,0
1,0,26,3,569,0,96,91,1
0,1,51,3,3991,5,0,0,1
0,1,40,3,1620,2,0,0,1
0,1,56,3,1173,3,0,0,0
1,1,56,1,236,3,57,52,0
1,1,18,1,134,2,0,0,0
1,1,8,2,647,3,0,0,0
0,1,33,2,654,4,0,0,1
0,1,46,3,2623,3,0,0,1
1,1,41,3,209,4,95,100,0
1,1,36,3,257,3,0,0,1
0,1,26,3,1629,1,0,0,1
1,0,36,1,371,3,11,6,0
0,1,31,3,2201,5,0,0,1
0,1,24,1,836,2,27,54,0
1,1,39,3,3081,5,7,0,1
1,0,20,1,859,3,3,24,0
1,1,69,1,1055,2,29,17,0
1,0,27,1,399,1,0,0,0
1,1,10,1,632,3,44,40,0
0,1,60,3,3626,2,35,36,1
0,1,44,3,833,2,15,1,1
1,1,68,1,1288,2,6,24,0
0,1,41,3,2163,3,60,70,0
1,1,46,1,645,3,141,139,0
0,1,54,1,515,3,44,33,0
1,1,44,3,3767,1,44,92,0
0,0,43,1,888,5,0,0,1
1,0,44,3,288,5,0,0,1
1,0,26,3,1024,4,16,14,0
0,1,48,3,3185,2,0,0,1
0,1,30,3,2974,4,74,67,1
1,1,46,3,2981,1,1,0,1
0,0,23,1,1428,2,0,7,0
0,1,39,3,2454,5,0,0,1
0,1,24,3,3482,5,0,0,1
1,1,48,1,296,2,0,0,0
0,1,63,1,391,3,0,4,0
0,1,37,3,3744,5,172,163,1
0,1,37,3,1558,4,0,8,0
0,1,57,3,1389,1,0,0,1
0,1,21,1,1947,2,0,0,0
0,1,9,1,776,2,16,6,0
1,1,24,3,3536,5,0,0,1
0,0,36,3,414,3,0,0,0
0,1,44,3,3165,2,0,0,1
1,1,49,3,1600,2,0,0,0
0,1,42,3,3605,4,0,0,1
1,1,52,1,247,4,0,0,1
0,1,52,1,550,2,0,0,0
0,1,20,1,446,4,0,0,0
0,1,47,3,728,1,0,0,1
0,1,45,3,3692,2,63,52,0
1,1,44,3,3979,4,0,0,1
1,1,47,3,3546,2,19,21,0
1,1,57,3,177,5,91,128,1
1,1,34,3,760,4,6,0,1
1,1,26,1,2378,4,4,0,1
1,1,45,3,228,0,0,21,1
1,1,33,3,163,3,0,3,1
0,0,22,1,251,1,0,0,0
0,1,51,3,406,5,9,4,1
0,1,60,1,624,4,175,180,1
0,1,40,3,3764,1,16,3,1
0,1,62,1,696,3,24,1,0
1,1,68,1,746,3,27,37,0
0,1,38,3,2930,2,7,23,0
0,1,44,3,192,5,23,13,1
0,1,11,1,507,3,11,5,0
1,1,33,1,226,1,0,0,0
1,1,10,2,338,1,0,0,0
0,1,51,2,380,2,16,0,1
0,1,34,3,3144,4,3,0,1
0,1,69,3,3714,4,0,0,0
1,1,49,3,90,4,0,0,1
0,1,30,2,204,2,105,93,0
1,1,40,1,399,3,0,0,0
1,1,29,2,802,2,0,0,0
0,1,68,1,406,3,0,0,0
1,1,53,2,676,2,0,0,0
1,1,24,3,1476,4,0,8,1
0,1,43,3,3677,4,2,0,1
0,1,7,3,1034,2,143,121,0
1,1,65,3,1042,4,48,30,0
1,1,8,1,597,4,0,6,0
0,1,50,1,1635,1,0,4,0
0,1,26,2,2556,3,0,33,0
1,1,24,1,859,3,37,52,0
1,1,55,1,1236,1,0,9,0
1,0,21,1,192,3,0,0,0
1,1,57,1,649,4,27,17,1
0,1,22,3,936,2,0,7,1
1,1,49,1,484,3,0,0,0
1,1,31,1,2279,1,0,0,0
0,0,21,1,1444,5,1,2,1
1,0,38,3,1389,5,3,0,1
1,1,42,3,1846,1,0,0,0
0,1,55,3,1884,4,4,2,1
0,0,26,3,285,1,0,3,0
0,1,43,3,2256,1,19,6,0
0,1,12,1,2342,3,31,22,0
1,1,32,1,163,2,0,0,0
1,1,46,3,2502,2,5,0,1
0,1,19,1,337,4,12,17,0
1,1,38,3,261,2,0,0,1
1,1,52,3,332,3,1,0,1
0,0,47,1,707,1,16,9,0
0,1,19,1,888,2,1,0,0
1,1,43,1,301,3,0,0,0
1,1,23,1,130,2,8,26,0
0,1,45,3,3052,1,0,0,1
1,1,58,1,2405,5,10,0,1
0,0,25,1,2585,3,0,0,0
1,1,68,1,666,4,2,0,0
1,1,64,3,3239,3,0,0,1
0,1,57,3,2718,2,2,0,1
1,1,43,3,362,4,47,45,0
0,1,28,3,3545,2,45,51,1
0,0,30,1,813,3,105,105,0
0,1,23,3,1698,2,101,126,1
0,0,37,3,148,4,1,0,1
0,1,54,3,544,2,0,0,1
1,1,40,3,3011,5,9,56,1
0,1,47,1,783,5,0,0,1
1,0,24,3,255,5,0,0,1
1,1,25,1,140,3,27,31,0
1,1,40,2,809,4,118,100,1
1,1,38,3,2472,5,0,0,1
1,1,45,1,175,3,0,0,1
1,1,29,2,331,2,0,0,0
1,1,42,3,2243,5,18,18,1
1,0,42,1,1874,3,0,5,0
0,0,27,1,326,3,5,0,0
0,0,38,3,130,4,15,8,0
1,1,64,1,1158,1,0,0,0
0,1,46,3,2074,4,27,45,0
0,1,46,3,1635,3,26,27,1
1,1,53,3,1744,3,0,4,1
0,1,48,1,1703,4,45,40,0
1,1,9,1,883,4,28,19,0
0,1,39,3,1979,3,0,0,1
0,1,16,1,306,2,76,73,0
0,1,29,1,992,2,0,10,0
1,1,41,3,2077,2,0,0,1
0,1,51,3,3304,2,0,0,1
1,1,42,3,2274,2,0,0,1
0,1,51,3,1084,5,0,0,1
1,1,50,3,2335,5,0,0,1
0,1,48,3,1851,1,0,0,1
0,1,50,3,3960,4,0,1,1
0,0,20,1,1269,2,0,0,0
1,0,36,1,965,3,4,11,0
0,0,10,1,192,2,3,4,0
0,1,64,1,1728,4,18,24,0
0,1,58,1,541,2,4,0,0
1,1,55,3,1440,2,0,0,1
1,1,64,2,213,2,0,6,0
0,1,52,3,3496,5,0,0,1
0,1,10,1,325,3,13,5,0
0,0,7,1,491,4,22,11,0
1,1,43,3,253,5,0,0,1
1,1,42,1,1010,5,0,0,1
1,1,16,3,2899,5,220,212,1
0,1,51,3,2093,1,0,0,1
0,1,35,3,2295,1,18,14,0
0,1,47,1,1749,3,0,3,0
1,0,35,3,668,2,0,0,0
1,1,13,2,1384,4,141,126,0
0,1,24,1,326,0,1,0,1
0,1,34,3,2627,1,0,0,1
0,1,51,3,1644,2,9,0,1
0,0,39,1,813,1,0,0,0
1,0,35,3,200,2,0,8,0
1,1,48,3,304,2,33,27,1
0,1,44,1,373,5,0,0,1
1,1,66,1,1097,4,0,0,0
0,1,26,1,472,3,18,18,0
1,1,65,1,745,3,0,0,0
1,0,20,1,1394,2,0,3,0
0,1,30,1,607,3,55,88,0
0,1,40,2,67,4,0,4,1
0,1,45,1,1294,3,11,4,0
0,1,58,2,1208,3,0,0,0
0,0,37,1,107,2,232,241,0
1,0,37,3,235,4,0,30,0
0,1,25,1,1009,0,0,0,1
1,0,26,1,1303,2,0,0,0
1,1,27,3,628,2,46,51,1
0,1,52,1,1517,4,0,0,1
0,1,26,3,2836,5,0,0,1
0,1,58,3,1034,4,170,172,1
0,1,50,3,2350,3,0,0,0
1,0,11,1,529,4,15,15,0
0,0,25,3,483,0,0,0,1
0,0,22,1,480,3,17,4,0
0,1,43,1,2588,0,0,0,1
1,1,41,3,3396,3,0,0,1
1,0,40,3,384,3,0,6,0
1,1,20,3,1788,1,25,12,0
0,1,43,3,1506,3,173,175,1
1,1,50,2,427,4,38,23,1
1,0,24,1,1042,3,0,0,0
0,0,32,3,157,3,0,0,0
0,1,47,3,3349,3,0,0,1
1,0,28,1,160,4,52,44,0
1,1,23,3,1400,1,0,6,1
0,1,38,3,2027,3,124,111,1
0,1,53,3,1741,1,0,0,1
0,1,52,3,3092,1,7,16,1
1,0,20,3,386,5,0,0,1
1,1,43,3,2585,1,0,0,1
1,1,40,3,304,0,0,0,1
0,1,43,3,2835,4,0,0,1
0,1,34,1,859,3,0,88,0
1,1,37,3,3969,1,27,61,0
1,1,61,3,2402,4,0,0,0
1,1,29,1,925,0,0,3,1
1,0,41,3,369,4,0,0,1
1,1,28,2,867,4,30,13,0
1,1,58,1,515,2,5,27,0
0,1,50,1,964,1,93,99,0
0,1,46,3,762,4,0,0,1
1,1,28,3,1620,3,0,0,1
0,1,61,1,731,5,0,0,1
1,1,27,1,1744,3,0,0,0
1,1,43,1,109,4,0,0,0
0,1,34,1,2457,2,0,0,0
0,1,56,1,2615,2,0,1,0
0,1,69,1,783,3,112,111,0
0,1,62,2,483,2,12,25,0
0,1,30,3,2253,5,40,42,1
0,0,25,1,1264,5,3,0,1
0,1,53,3,2248,3,0,0,1
0,1,46,3,480,2,94,76,1
0,1,48,1,290,2,0,0,0
1,1,46,3,544,4,0,6,1
1,0,40,3,666,4,0,0,1
0,1,39,1,299,2,0,0,0
0,0,22,1,748,4,0,0,1
1,1,35,2,391,5,0,0,1
1,1,29,1,612,2,0,5,0
1,1,33,2,1598,1,0,0,0
0,0,26,1,304,2,0,6,0
1,1,27,2,776,2,6,10,0
1,0,24,3,411,5,0,0,1
1,1,16,3,1325,5,243,226,1
0,1,47,3,427,4,0,0,1
1,1,45,1,531,1,0,0,0
1,1,39,3,1582,3,0,0,1
0,1,35,3,2392,2,0,0,0
1,1,23,1,399,4,0,0,0
0,1,35,3,589,2,44,46,0
0,1,50,3,993,2,0,0,1
1,1,40,1,192,2,7,0,0
0,1,45,3,483,4,128,131,0
1,1,60,3,1797,4,0,0,1
0,1,11,1,1310,3,24,12,0
0,0,38,3,762,4,0,4,1
1,0,26,3,2475,3,0,0,0
1,1,17,1,808,3,0,0,0
0,1,40,3,1723,3,2,0,1
1,1,60,1,123,5,0,0,1
1,1,43,3,2825,1,16,10,1
0,1,50,3,3610,4,0,0,1
0,1,46,1,337,2,0,6,0
0,1,29,3,1642,1,24,14,0
0,0,23,3,1041,4,15,1,1
0,1,17,1,991,2,0,0,0
0,0,65,3,473,5,11,33,1
0,0,47,1,608,4,83,45,0
0,1,34,1,455,4,0,0,1
0,1,64,1,862,3,25,21,0
0,1,42,3,3381,2,0,0,1
0,1,53,1,972,3,0,0,0
0,1,38,2,834,4,92,100,0
1,0,8,1,1107,4,18,5,0
0,1,31,3,3561,1,0,4,1
0,1,41,1,606,1,18,2,0
0,1,32,2,1069,1,49,31,0
1,1,56,3,1707,4,7,15,1
0,0,19,1,501,3,0,0,0
0,0,25,3,541,2,0,0,0
1,0,39,3,421,1,0,0,0
0,1,9,1,1390,2,270,260,0
1,1,39,2,266,2,49,56,0
1,1,21,3,1062,3,17,32,1
0,1,20,1,992,3,0,7,0
0,1,55,3,502,1,0,6,1
1,0,69,1,1334,5,4,0,1
1,1,25,3,854,2,9,0,1
0,1,69,3,173,1,0,0,0
1,1,67,1,1033,3,37,22,0
0,1,33,3,236,1,2,0,0
0,1,39,3,1685,0,0,5,1
1,1,17,1,647,2,6,0,0
1,1,39,3,2088,2,10,0,1
1,0,25,1,1576,3,0,0,0
0,1,32,3,3802,0,90,86,1
1,1,23,2,101,4,0,0,0
1,1,46,1,650,1,0,0,0
1,1,50,3,416,4,0,0,1
1,1,43,2,223,2,28,20,0
0,1,35,1,1005,4,0,0,1
0,1,62,1,834,4,110,92,0
1,0,47,1,247,1,0,6,0
1,0,13,1,986,2,2,26,0
1,1,68,1,1635,1,0,0,0
1,0,29,2,868,2,0,0,0
0,1,57,3,370,3,0,0,1
1,1,32,3,1237,3,8,1,0
0,1,55,2,110,3,0,0,0
1,1,31,3,749,1,11,11,1
0,1,7,1,1154,3,0,0,0
1,1,59,1,145,1,0,0,0
0,1,62,1,581,2,0,0,0
0,1,33,1,1197,3,0,0,0
1,1,30,3,2450,3,2,0,1
1,1,30,3,1966,3,0,5,0
0,1,41,1,493,3,0,0,1
0,1,60,3,3664,1,0,3,0
1,1,60,1,214,3,0,0,0
0,0,15,3,1039,0,4,0,1
1,0,36,1,140,1,2,9,0
0,1,50,3,1937,5,0,0,1
0,0,22,1,434,3,5,6,0
0,1,39,1,294,1,0,0,0
0,1,24,1,473,3,0,26,0
1,1,51,3,2818,5,6,0,1
0,1,49,3,74,1,0,0,1
1,1,56,3,3538,3,0,0,1
0,1,57,1,308,2,0,0,0
0,1,57,1,308,3,0,0,1
1,1,50,3,2583,4,6,0,1
